82;970.5;0.3463;0.3568;62.3;6.523;343.3;4198.1;0.6704;0.1645;2.17
84;969.3;0.338;0.3487;61.93;6.634;351.7;4199.7;0.6718;0.165;2.114
86;968;0.33;0.341;61.56;6.744;360.1;4201.4;0.673;0.1655;2.062
88;966.7;0.3224;0.3335;61.19;6.853;368.5;4203.2;0.6741;0.1659;2.011
90;965.3;0.315;0.3264;60.82;6.962;376.9;4205;0.6751;0.1663;1.963
92;964;0.308;0.3195;60.44;7.07;385.4;4207;0.676;0.1667;1.917
94;962.6;0.3012;0.3129;60.06;7.178;393.8;4209.1;0.6768;0.167;1.873
96;961.2;0.2946;0.3065;59.68;7.286;402.2;4211.4;0.6775;0.1674;1.83
98;959.8;0.2883;0.3004;59.29;7.393;410.6;4213.8;0.6782;0.1677;1.79
100;958.4;0.2823;0.2945;58.91;7.5;419.1;4216.4;0.6788;0.168;1.753
105;954.7;0.2681;0.2808;57.94;7.78;440.2;4222.2;0.6802;0.1687;1.664
110;951;0.255;0.2681;56.96;8.06;461.3;4229;0.6813;0.1694;1.583
115;947.1;0.2431;0.2567;55.97;8.34;482.5;4236.5;0.6823;0.17;1.509
120;943.1;0.2321;0.2461;54.96;8.62;503.7;4244.7;0.683;0.1706;1.442
125;939;0.222;0.2364;53.95;8.9;525;4253.7;0.6834;0.1711;1.382
130;934.8;0.2127;0.2275;52.93;9.18;546.3;4263.3;0.6834;0.1715;1.327
135;930.4;0.2041;0.2194;51.89;9.46;567.7;4273.7;0.6832;0.1718;1.277
140;926;0.1961;0.2118;50.85;9.74;589.1;4284.9;0.6829;0.1721;1.23
145;921.5;0.1888;0.2049;49.8;10.01;610.6;4297;0.6824;0.1723;1.189
150;916.9;0.1819;0.1984;48.74;10.28;632.2;4309.9;0.6819;0.1726;1.15
155;912.1;0.1755;0.1924;47.67;10.55;653.8;4323.7;0.6808;0.1726;1.115
160;907.3;0.1696;0.1869;46.58;10.81;675.5;4338.4;0.6797;0.1727;1.083
165;902.4;0.164;0.1817;45.49;11.06;697.3;4354.1;0.6784;0.1727;1.053
170;897.3;0.1588;0.177;44.4;11.3;719.1;4370.8;0.6768;0.1726;1.026
175;892.1;0.1539;0.1725;43.3;11.59;741.1;4388.6;0.6751;0.1724;1
180;886.9;0.1494;0.1685;42.19;11.9;763.1;4407.6;0.6732;0.1722;0.978
185;881.5;0.1451;0.1646;41.07;12.23;785.3;4427.9;0.671;0.1719;0.957
190;876;0.141;0.161;39.95;12.58;807.5;4449.4;0.6687;0.1716;0.938
195;870.4;0.1372;0.1576;38.82;12.95;829.9;4472.4;0.6661;0.1711;0.921
200;864.7;0.1336;0.1545;37.69;13.32;852.4;4496.9;0.6633;0.1706;0.906
